partType,name,image,url,type,size
memory,Corsair Vengeance 4 GB (1 x 4 GB) DDR3-1600 CL9 Memory (CMZ4GX3M1A1600C9),https://cdna.pcpartpicker.com/static/forever/images/product/6ed9e0759dfe76f80966d7fc0d3ad1b8.256p.jpg,https://pcpartpicker.com/product/gFNp99/corsair-memory-cmz4gx3m1a1600c9,DDR3,4
memory,Kingston HyperX Fury 16 GB (2 x 8 GB) DDR3-1866 CL11 Memory (HX318LC11FBK2/16),https://m.media-amazon.com/images/I/41zJnCUo1yL.jpg,https://pcpartpicker.com/product/g6RFf7/kingston-memory-hx318lc11fbk216,DDR3,16
memory,G.Skill Ripjaws X 8 GB (2 x 4 GB) DDR3-1866 CL8 Memory (F3-14900CL8D-8GBXM),https://m.media-amazon.com/images/I/41NaNofenBL.jpg,https://pcpartpicker.com/product/FqvRsY/gskill-memory-f314900cl8d8gbxm,DDR3,8
memory,Silicon Power SP008GLSTU160N02 8 GB (1 x 8 GB) DDR3-1600 SODIMM CL11 Memory (SP008GLSTU160N02),https://cdna.pcpartpicker.com/static/forever/images/product/16190c8586beb58e26c5fe7aa9d98504.256p.jpg,https://pcpartpicker.com/product/C38bt6/silicon-power-8-gb-1-x-8-gb-ddr3-1600-cl11-memory-sp008glstu160n02,DDR3,8
memory,Silicon Power SP008GLLTU160N02 8 GB (1 x 8 GB) DDR3-1600 CL11 Memory (SP008GLLTU160N02),https://cdna.pcpartpicker.com/static/forever/images/product/550d92d98bdc8787f043053ee67f417d.256p.jpg,https://pcpartpicker.com/product/szZ9TW/silicon-power-8-gb-1-x-8-gb-ddr3-1600-cl11-memory-sp008glltu160n02,DDR3,8
memory,G.Skill Ares 16 GB (2 x 8 GB) DDR3-2400 CL11 Memory (F3-2400C11D-16GAB),https://cdna.pcpartpicker.com/static/forever/images/product/3df04a089750f60cf6d2b739e13e8329.256p.jpg,https://pcpartpicker.com/product/6ztCmG/gskill-memory-f32400c11d16gab,DDR3,16
memory,Kingston KVR1333D3N9HK4/32G 32 GB (4 x 8 GB) DDR3-1333 CL9 Memory (KVR1333D3N9HK4/32G),https://m.media-amazon.com/images/I/61x43zwiHbL.jpg,https://pcpartpicker.com/product/GQFPxr/kingston-memory-kvr1333d3n9hk432g,DDR3,32
memory,Kingston ValueRAM 4 GB (2 x 2 GB) DDR3-1333 CL9 Memory (KVR1333D3N9K2/4G),https://images-na.ssl-images-amazon.com/images/I/41HX9RWOPqL.jpg,https://pcpartpicker.com/product/DCQypg/kingston-memory-kvr1333d3n9k24g,DDR3,4
memory,G.Skill Sniper 16 GB (2 x 8 GB) DDR3-2400 CL11 Memory (F3-2400C11D-16GSR),https://images-na.ssl-images-amazon.com/images/I/51VS5V83bcL.jpg,https://pcpartpicker.com/product/zch9TW/gskill-memory-f32400c11d16gsr,DDR3,16
memory,Corsair Vengeance Pro 16 GB (2 x 8 GB) DDR3-2400 CL11 Memory (CMY16GX3M2A2400C11R),https://cdna.pcpartpicker.com/static/forever/images/product/897f26d25460c45259a10dbbf46cbffc.256p.jpg,https://pcpartpicker.com/product/NwR48d/corsair-memory-cmy16gx3m2a2400c11r,DDR3,16
memory,Kingston HyperX Fury 16 GB (2 x 8 GB) DDR3-1600 CL10 Memory (HX316C10FWK2/16),https://cdna.pcpartpicker.com/static/forever/images/product/2fbdad0896645d1a8980f2113aae1129.256p.jpg,https://pcpartpicker.com/product/xkCwrH/kingston-memory-hx316c10fwk216,DDR3,16
